Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
Thai,,Downtrend,SVM,16.98,2.82,-17.35,11697.8,,,,
Thai,GMM,Overall,XGBoost,7.76,2.3,-15.7,10775.55,99.7,0.3,3.0,
Thai,,Uptrend,XGBoost,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,XGBoost,8.84,2.82,-15.7,10884.0,,,,
Thai,ADX,Overall,LSTM,0.83,2.3,-19.08,10082.64,95.1,4.9,3.0,
Thai,,Uptrend,LSTM,0.02,0.98,-7.01,10002.41,,,,
Thai,,Downtrend,LSTM,1.31,1.31,-20.99,10130.79,,,,
Thai,ADX,Overall,CNN,2.2,2.3,-19.08,10219.9,100.0,0.0,1.0,
Thai,,Uptrend,CNN,0.98,0.98,-6.17,10098.06,,,,
Thai,,Downtrend,CNN,1.31,1.31,-20.99,10130.79,,,,
Thai,ADX,Overall,MLP,-8.59,2.3,-19.34,9141.19,88.9,11.1,15.0,
Thai,,Uptrend,MLP,1.43,0.98,-6.17,10143.32,,,,
Thai,,Downtrend,MLP,-7.23,1.31,-20.12,9277.47,,,,
Thai,ADX,Overall,Transformer,9.99,2.3,-19.19,10999.28,76.1,23.9,6.0,
Thai,,Uptrend,Transformer,-6.89,0.98,-6.67,9310.78,,,,
Thai,,Downtrend,Transformer,19.44,1.31,-14.78,11944.29,,,,
Thai,ADX,Overall,RandomForest,-1.81,2.3,-19.08,9818.8,95.1,4.9,5.0,
Thai,,Uptrend,RandomForest,0.28,0.98,-6.77,10028.01,,,,
Thai,,Downtrend,RandomForest,-1.2,1.31,-20.99,9879.99,,,,
Thai,ADX,Overall,SVM,14.87,2.3,-17.76,11486.6,84.2,14.4,9.0,
Thai,,Uptrend,SVM,1.51,0.98,-6.17,10151.03,,,,
Thai,,Downtrend,SVM,15.1,1.31,-17.52,11509.91,,,,
Thai,ADX,Overall,XGBoost,7.76,2.3,-15.7,10775.55,99.7,0.3,3.0,
Thai,,Uptrend,XGBoost,0.98,0.98,-6.17,10098.06,,,,
Thai,,Downtrend,XGBoost,7.24,1.31,-16.36,10724.45,,,,
Thai,HMM,Overall,LSTM,2.2,2.3,-19.08,10219.9,100.0,0.0,1.0,
